id,created_at,reference,power_real,power_counter,power_real_temp,pac_sum,pac_sum_counter,pac_sum_temp,total_energy,co2factor,update_at,day_energy
90,2022-03-12 07:00:00,takurika1,-2790.72,12,-33488.6,351.794,11,3869.73,11716300,1925920,2022-03-12 12:59:55,
91,2022-03-12 07:00:00,comfenalco1,59.7637,12,717.164,562.77,11,6190.47,27803800,4570390,2022-03-12 12:59:54,
92,2022-03-12 07:00:00,edlv,3563.2,2,7126.4,"0","0","0","0","0",2022-03-12 12:59:04,
93,2022-03-12 08:00:00,comfenalco1,277.623,305,84675,57.1527,305,17431.6,27814200,4572100,2022-03-12 08:59:55,
94,2022-03-12 08:00:00,takurika1,790.094,290,229127,24.6483,277,6827.59,11721500,1926780,2022-03-12 08:59:58,
95,2022-03-12 08:00:00,edlv,1031.79,54,55716.6,"0","0","0","0","0",2022-03-12 08:59:04,
96,2022-03-12 09:00:00,comfenalco1,273.888,360,98599.5,61.1927,360,22029.4,27834400,4575410,2022-03-12 09:59:55,
97,2022-03-12 09:00:00,edlv,213.393,55,11736.6,"0","0","0","0","0",2022-03-12 09:59:04,
98,2022-03-12 09:00:00,takurika1,816.991,71,58006.4,98.513,83,8176.58,11723200,1927060,2022-03-12 09:14:05,
99,2022-03-12 10:00:00,comfenalco1,198.82,360,71575.3,52.1832,360,18786,27851800,4578280,2022-03-12 10:59:55,
100,2022-03-12 10:00:00,edlv,184.602,60,11076.1,"0","0","0","0","0",2022-03-12 10:59:04,
101,2022-03-12 11:00:00,comfenalco1,158.051,339,53579.3,49.878,339,16908.6,27869400,4581180,2022-03-12 11:56:24,
102,2022-03-12 11:00:00,edlv,257.979,59,15220.7,"0","0","0","0","0",2022-03-12 11:58:05,
103,1999-12-31 19:00:00,takurika1,2516.92,3,25615.9,"0",2,"0",29104900,4784260,2022-10-21 21:57:11,51432
104,2022-03-12 11:00:00,takurika1,1745.07,144,251290,98.5823,124,12224.2,11724200,1927230,2022-03-12 11:59:51,
105,2022-03-12 12:00:00,takurika1,-3615.41,310,-1120780,55.2237,303,16732.8,11736900,1929300,2022-03-12 12:59:51,
106,2022-03-12 12:00:00,comfenalco1,79.5853,331,26342.7,45.5202,330,15021.7,27888000,4584230,2022-03-12 12:59:52,
107,2022-03-12 12:00:00,edlv,406.734,59,23997.3,"0","0","0","0","0",2022-03-12 12:59:04,
108,2022-03-12 13:00:00,comfenalco1,120.868,360,43512.3,48.1536,360,17335.3,27904800,4586990,2022-03-12 13:59:52,
109,2022-03-12 13:00:00,takurika1,-3540.16,346,-1224900,51.5795,317,16350.7,11748200,1931180,2022-03-12 13:59:53,
110,2022-03-12 13:00:00,edlv,192.857,59,11378.6,"0","0","0","0","0",2022-03-12 13:59:04,
111,2022-03-12 14:00:00,comfenalco1,1263.94,360,455018,40.0783,360,14428.2,27919500,4589410,2022-03-12 14:59:52,
112,2022-03-12 14:00:00,edlv,331.777,60,19906.7,"0","0","0","0","0",2022-03-12 14:59:04,
113,2022-03-12 14:00:00,takurika1,-2097.85,336,-704876,22.0822,326,7198.79,11758500,1932860,2022-03-12 14:59:23,
114,2022-03-12 15:00:00,comfenalco1,2457.85,360,884826,33.6015,360,12096.5,27931800,4591440,2022-03-12 15:59:52,
115,2022-03-12 15:00:00,edlv,637.028,59,37584.6,"0","0","0","0","0",2022-03-12 15:59:04,
116,2022-03-12 15:00:00,takurika1,-3079.48,314,-966958,15.6886,313,4910.54,11766000,1934100,2022-03-12 15:59:53,
117,2022-03-12 16:00:00,comfenalco1,4172.69,360,1502170,15.8505,360,5706.18,27940700,4592890,2022-03-12 16:59:52,
118,2022-03-12 16:00:00,takurika1,-3535.67,332,-1173840,5.78695,353,2042.79,11769700,1934710,2022-03-12 16:59:53,
119,2022-03-12 16:00:00,edlv,2393.36,60,143602,"0","0","0","0","0",2022-03-12 16:59:04,
120,2022-03-12 17:00:00,comfenalco1,4995.94,353,1763570,1.75859,353,620.783,27943300,4593310,2022-03-12 17:59:52,
121,2022-03-12 17:00:00,takurika1,-680.621,360,-245023,"0.507471",360,182.69,11770500,1934840,2022-03-12 17:59:53,
